	sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
0	kendi hatalarımı kendim yaptım bile diyemiyorum .	yaptım	3			kendim	2	{'PronType': 'Prs', 'Reflex': 'Yes', 'lemma': 'kendi'}	PRON	yaptım	3	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'yap'}	VERB	1	[]	{'sent_id': '15-8524.train', 'text': 'kendi hatalarımı kendim yaptım bile diyemiyorum .', 'treebank': 'UD_Turkish-Penn/tr_penn-ud-train.conllu'}	yaptı	1 -> 3	kendi hatalarımı kendim	kendi hatalarımı kendim yaptı bile diyemiyorum .	[]	[]	0	0	0	False	False	False	0.0208235029966	SV-P	tur	1	3	SV	verb	+	[-11.826854705810547, -9.907283782958984, -7.717633247375488, -5.323505401611328, -6.385690689086914, -10.257322311401367, -3.616724967956543, -0.3940906524658203]	[-11.826854705810547, -9.907283782958984, -7.717633247375488, -7.6483683586120605, -7.167003631591797, -10.309480667114258, -3.8409957885742188, -0.42680835723876953]	55.429107666015625	58.844425201416016	3.4153175354003906
1	Çoğumuz bir sersem tanıyoruz .	tanıyoruz	3			Çoğumuz	0	{'PronType': 'Ind', 'lemma': 'çoğu'}	PRON	tanıyoruz	3	{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'tanı'}	VERB	3	[]	{'sent_id': '15-5776.train', 'text': 'Çoğumuz bir sersem tanıyoruz .', 'treebank': 'UD_Turkish-Penn/tr_penn-ud-train.conllu'}	tanıyorlar	1 -> 3	Çoğumuz bir sersem	Çoğumuz bir sersem tanıyorlar .	[]	[]	0	0	0	False	False	False	0.1207763173802805	SV-P	tur	1	3	SV	verb	+	[-4.197388648986816, -11.221141815185547, -14.383020401000977, -2.0418291091918945]	[-4.197388648986816, -11.221141815185547, -13.800273895263672, -4.372838973999023]	31.843379974365234	33.591644287109375	1.7482643127441406
2	Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldum .	oldum	9			kendim	6	{'PronType': 'Prs', 'Reflex': 'Yes', 'lemma': 'kendi'}	PRON	oldum	9	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'ol'}	VERB	3	[]	{'sent_id': '2218.test', 'text': 'Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldum .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}	oldu	1 -> 3	Bu ikinci firar teşebbüsünden sonra , kendim de pişman	Bu ikinci firar teşebbüsünden sonra , kendim de pişman oldu .	[]	[]	0	0	0	False	False	False	0.0100646931150233	SV-P	tur	1	3	SV	verb	+	[-7.862110137939453, -11.192002296447754, -3.455272674560547, -12.498607635498047, -6.667667388916016, -4.2410197257995605, -2.5760574340820312, -11.232330322265625, -3.6226654052734375, -10.419435501098633, -6.254269599914551, -0.582707405090332]	[-7.862110137939453, -11.192002296447754, -3.455272674560547, -12.498607635498047, -6.667667388916016, -4.2410197257995605, -2.5760574340820312, -11.232330322265625, -3.6226654052734375, -10.419435501098633, -5.060146331787109, -0.5964384078979492]	80.60414123535156	79.42375183105469	-1.180389404296875
3	"Eleştirileri "" Ben Balzac okudum , "" diye cevaplıyor ."	okudum	4			Ben	2	{'PronType': 'Prs', 'lemma': 'ben'}	PRON	okudum	4	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'oku'}	VERB	2	[]	"{'sent_id': '15-1112.train', 'text': 'Eleştirileri "" Ben Balzac okudum , "" diye cevaplıyor .', 'treebank': 'UD_Turkish-Penn/tr_penn-ud-train.conllu'}"	okudu	1 -> 3	"Eleştirileri "" Ben Balzac"	"Eleştirileri "" Ben Balzac okudu , "" diye cevaplıyor ."	[]	[]	0	0	0	False	False	False	0.0005730786115315	SV-P	tur	1	3	SV	verb	+	[-6.299092769622803, -10.376204490661621, -8.511962890625, -6.462004661560059, -12.503311157226562, -7.073801040649414, -6.318747520446777, -12.621954917907715, -2.079744338989258, -3.6411914825439453, -2.6770544052124023, -5.083347797393799, -5.614968299865723, -1.5734481811523438]	[-6.299092769622803, -10.376204490661621, -8.511962890625, -6.462004661560059, -12.503311157226562, -7.073801040649414, -6.318747520446777, -13.295903205871582, -1.8648786544799805, -4.136258125305176, -3.1408939361572266, -5.097148895263672, -5.509654998779297, -1.5285634994506836]	90.83683013916016	92.1184310913086	1.2816009521484375
4	Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa otururduk .	otururduk	11			Biz	0	{'PronType': 'Prs', 'lemma': 'biz'}	PRON	otururduk	11	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'otur'}	VERB	11	[{'id': 3, 'form': 'yolun', 'lemma': 'yol', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 4, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 4, 'form': 'üstünde', 'lemma': 'üst', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 6, 'form': 'kasabanın', 'lemma': 'kasaba', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 7, 'form': 'çıkış', 'lemma': 'çık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 8, 'form': 'yerinde', 'lemma': 'yer', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}]	{'sent_id': '3441.train', 'text': 'Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa otururduk .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}	oturdular	1 -> 3	Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa	Biz , yolun üstünde , kasabanın çıkış yerinde boş bir handa oturdular .	[]	[{'id': 3, 'form': 'yolun', 'lemma': 'yol', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 4, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 4, 'form': 'üstünde', 'lemma': 'üst', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 6, 'form': 'kasabanın', 'lemma': 'kasaba', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Gen', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 7, 'form': 'çıkış', 'lemma': 'çık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 8, 'deprel': 'nmod', 'deps': None, 'misc': None}, {'id': 8, 'form': 'yerinde', 'lemma': 'yer', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Loc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 12, 'deprel': 'obl', 'deps': None, 'misc': None}]	5	0	5	True	False	True	0.0010590798242694	SV-P	tur	1	3	SV	verb	+	[-4.292020797729492, -11.078744888305664, -7.346373558044434, -3.6369667053222656, -11.16799259185791, -9.886911392211914, -8.840351104736328, -9.143280029296875, -3.94673490524292, -9.956831932067871, -6.211536884307861, -8.334868431091309, -3.9109230041503906, -0.32903194427490234]	[-4.292020797729492, -11.078744888305664, -7.346373558044434, -3.6369667053222656, -11.16799259185791, -9.886911392211914, -8.840351104736328, -9.143280029296875, -3.94673490524292, -9.956831932067871, -6.211536884307861, -6.6387939453125, -6.986014366149902, -0.7338676452636719]	98.08256530761719	99.86642456054688	1.7838592529296875
5	Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptık .	yaptık	8			Bizler	0	{'PronType': 'Prs', 'lemma': 'biz'}	PRON	yaptık	8	{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Fin', 'lemma': 'yap'}	VERB	8	[{'id': 4, 'form': 'bataklıktan', 'lemma': 'bataklık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Abl', 'Number': 'Sing', 'Person': '3'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 5, 'form': 'kurtarmak', 'lemma': 'kurtar', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 9, 'deprel': 'advcl', 'deps': None, 'misc': None}, {'id': 7, 'form': 'fazlasını', 'lemma': 'fazla', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 9, 'deprel': 'obj', 'deps': None, 'misc': None}]	{'sent_id': '0595.test', 'text': 'Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptık .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}	yaptılar	1 -> 3	Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile	Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptılar .	[]	[{'id': 4, 'form': 'bataklıktan', 'lemma': 'bataklık', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Abl', 'Number': 'Sing', 'Person': '3'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}, {'id': 5, 'form': 'kurtarmak', 'lemma': 'kurtar', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Nom', 'Number': 'Sing', 'Person': '3'}, 'head': 9, 'deprel': 'advcl', 'deps': None, 'misc': None}, {'id': 7, 'form': 'fazlasını', 'lemma': 'fazla', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Acc', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '3', 'Person[psor]': '3'}, 'head': 9, 'deprel': 'obj', 'deps': None, 'misc': None}]	3	0	3	True	False	True	0.0798848781734636	SV-P	tur	1	3	SV	verb	+	[-9.243125915527344, -5.236876487731934, -9.287309646606445, -6.640555381774902, -7.168316841125488, -2.6397018432617188, -11.618803024291992, -7.605135917663574, -9.192502975463867, -0.9313421249389648]	[-9.243125915527344, -5.236876487731934, -9.287309646606445, -6.640555381774902, -7.168316841125488, -2.6397018432617188, -11.618803024291992, -7.605135917663574, -10.759613990783691, -0.7880430221557617]	69.56366729736328	70.98748016357422	1.4238128662109375
6	Ben de kendimce sınamak istedim bunu.	istedim	4			Ben	0	{'Case': 'Nom', 'Number': 'Sing', 'Person': '1', 'lemma': 'ben'}	PRON	istedim	4	{'Aspect': 'Perf', 'Evident': 'Fh', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Past', 'lemma': 'iste'}	VERB	4	[{'id': 3, 'form': 'kendimce', 'lemma': 'kendi', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Equ', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '1', 'Person[psor]': '1'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}]	{'sent_id': 'ins_1207', 'text': 'Ben de kendimce sınamak istedim bunu.', 'treebank': 'UD_Turkish-BOUN/tr_boun-ud-test.conllu'}	istedi	1 -> 3	Ben de kendimce sınamak	Ben de kendimce sınamak istedi bunu.	[{'id': 3, 'form': 'kendimce', 'lemma': 'kendi', 'upos': 'NOUN', 'xpos': None, 'feats': {'Case': 'Equ', 'Number': 'Sing', 'Number[psor]': 'Sing', 'Person': '1', 'Person[psor]': '1'}, 'head': 5, 'deprel': 'obl', 'deps': None, 'misc': None}]	[]	1	1	0	True	True	False	0.0081828741083441	SV-P	tur	1	3	SV	verb	+	[-2.1283044815063477, -5.495580673217773, -6.997683048248291, -9.122283935546875, -2.6940832138061523, -6.248398780822754, -6.236503601074219, -11.86792278289795]	[-2.1283044815063477, -5.495580673217773, -6.997683048248291, -9.122283935546875, -2.6940832138061523, -2.520735740661621, -5.767397880554199, -12.104747772216797]	50.7907600402832	46.83081817626953	-3.959941864013672
7	Ben kaçıyorum , abim de arkamdan koşuyor .	kaçıyorum	1			Ben	0	{'PronType': 'Prs', 'lemma': 'ben'}	PRON	kaçıyorum	1	{'Aspect': 'Prog', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'kaç'}	VERB	1	[]	{'sent_id': 'Forward_Motion-0004.train', 'text': 'Ben kaçıyorum , abim de arkamdan koşuyor .', 'treebank': 'UD_Turkish-FrameNet/tr_framenet-ud-train.conllu'}	kaçıyor	1 -> 3	Ben	Ben kaçıyor , abim de arkamdan koşuyor .	[]	[]	0	0	0	False	False	False	0.0002223149786113	SV-P	tur	1	3	SV	verb	+	[-7.453893661499023, -7.5127363204956055, -3.381985664367676, -9.532371520996094, -7.878968238830566, -4.618685722351074, -9.71412467956543, -13.118799209594727, -3.3697824478149414]	[-11.989056587219238, -5.300797939300537, -10.197061538696289, -7.53663444519043, -5.231503486633301, -9.74034309387207, -13.280117988586426, -2.7086925506591797]	66.58134460449219	65.98420715332031	-0.597137451171875
8	Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okurum .	okurum	14			kendim	13	{'PronType': 'Prs', 'Reflex': 'Yes', 'lemma': 'kendi'}	PRON	okurum	14	{'Aspect': 'Hab', 'Mood': 'Gen', 'Number': 'Sing', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'lemma': 'oku'}	VERB	1	[]	{'sent_id': '7386.train', 'text': 'Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okurum .', 'treebank': 'UD_Turkish-Kenet/tr_kenet-ud-train.conllu'}	okur	1 -> 3	Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim	Ama ben , bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okur .	[]	[]	0	0	0	False	False	False	0.0624705089898002	SV-P	tur	1	3	SV	verb	+	[-3.850520610809326, -4.261533737182617, -3.665144920349121, -6.947343826293945, -8.761348724365234, -4.449150085449219, -7.370560646057129, -9.852584838867188, -4.475468635559082, -4.29578971862793, -7.490818500518799, -8.712503433227539, -7.375921249389648, -9.34031867980957, -1.8649959564208984]	[-3.850520610809326, -4.261533737182617, -3.665144920349121, -6.947343826293945, -8.761348724365234, -4.449150085449219, -7.370560646057129, -9.852584838867188, -4.475468635559082, -4.29578971862793, -7.490818500518799, -8.712503433227539, -7.375921249389648, -10.821672439575195, -5.83082389831543]	92.71399688720703	98.16118621826172	5.4471893310546875
9	"Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım."	duruyoruz	25			kendimiz	23	{'Case': 'Nom', 'Number': 'Plur', 'Number[psor]': 'Plur', 'Person': '1', 'Person[psor]': '1', 'Reflex': 'Yes', 'lemma': 'kendi'}	PRON	duruyoruz	25	{'Aspect': 'Imp', 'Number': 'Plur', 'Person': '1', 'Polarity': 'Pos', 'Tense': 'Pres', 'lemma': 'dur'}	VERB	2	[]	"{'sent_id': 'ess_1320', 'text': 'Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım.', 'treebank': 'UD_Turkish-BOUN/tr_boun-ud-train.conllu'}"	duruyorlar	1 -> 3	"Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi"	"Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyorlar? Müzik aletlerini göz önüne alalım."	[]	[]	0	0	0	False	False	False	0.0402587724600935	SV-P	tur	1	3	SV	verb	+	[-9.772279739379883, -3.294923782348633, -8.764886856079102, -15.925145149230957, -10.560705184936523, -15.432361602783203, -12.051172256469727, -12.067424774169922, -5.394308090209961, -2.2346296310424805, -7.48448371887207, -5.081695556640625, -7.727082252502441, -15.189557075500488, -12.501358032226562, -9.907139778137207, -8.478511810302734, -10.738410949707031, -0.19339466094970703, -5.04739236831665, -6.848921298980713, -3.5904035568237305, -1.4122600555419922, -10.963489532470703, -9.75599479675293, -5.810739517211914, -6.746121883392334, -7.972797870635986, -10.564203262329102, -4.393118381500244, -13.073375701904297, -14.284448623657227, -12.885839462280273, -10.399295806884766, -9.671483993530273, -7.282879829406738, -4.502983093261719, -3.268644332885742, -10.293462753295898]	[-9.772279739379883, -3.294923782348633, -8.764886856079102, -15.925145149230957, -10.560705184936523, -15.432361602783203, -12.051172256469727, -12.067424774169922, -5.394308090209961, -2.2346296310424805, -7.48448371887207, -5.081695556640625, -7.727082252502441, -15.189557075500488, -12.501358032226562, -9.907139778137207, -8.478511810302734, -10.738410949707031, -0.19339466094970703, -5.04739236831665, -6.848921298980713, -3.5904035568237305, -1.4122600555419922, -10.963489532470703, -9.75599479675293, -5.810739517211914, -6.746121883392334, -7.972797870635986, -10.564203262329102, -4.393118381500244, -15.398155212402344, -13.639802932739258, -12.791071891784668, -10.387656211853027, -9.567516326904297, -7.2415056228637695, -4.440273284912109, -3.289918899536133, -10.20934009552002]	331.56732177734375	332.8701477050781	1.302825927734375
